            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457979.500000000, A.D. 2017-Aug-14 00:00:00.0000, -6.264963374509954E+07, -8.497573425292803E+07,  7.960205532954906E+07,  1.089638485998828E+00,  3.034177758904423E+01, -4.220025807828949E+01,  4.410411061051272E+02,  1.322207972782949E+08, -4.542256349474919E+01,
2457980.500000000, A.D. 2017-Aug-15 00:00:00.0000, -6.254167384576353E+07, -8.233565251016727E+07,  7.593866006084418E+07,  1.414243069274792E+00,  3.077549564279798E+01, -4.260348308937520E+01,  4.279160733562835E+02,  1.282860114491885E+08, -4.566063748815567E+01,
2457981.500000000, A.D. 2017-Aug-16 00:00:00.0000, -6.240436919754135E+07, -7.965695677036980E+07,  7.223965378143695E+07,  1.769538427857978E+00,  3.123602277959630E+01, -4.302475292980057E+01,  4.147223152462753E+02,  1.243306222751317E+08, -4.589928528344515E+01,
2457982.500000000, A.D. 2017-Aug-17 00:00:00.0000, -6.223489782997204E+07, -7.693722220382462E+07,  6.850343418517640E+07,  2.159571148425311E+00,  3.172592051188495E+01, -4.346507035427223E+01,  4.014598630900737E+02,  1.203546391441167E+08, -4.613707881705667E+01,
2457983.500000000, A.D. 2017-Aug-18 00:00:00.0000, -6.203005921229543E+07, -7.417378929567641E+07,  6.472831215208426E+07,  2.589079192865202E+00,  3.224806668278088E+01, -4.392543787490546E+01,  3.881292193195683E+02,  1.163582126814345E+08, -4.637215860230424E+01,
2457984.500000000, A.D. 2017-Aug-19 00:00:00.0000, -6.178620849719469E+07, -7.136373467504071E+07,  6.091251306563337E+07,  3.063636486231264E+00,  3.280569886120163E+01, -4.440682552322958E+01,  3.747314990691045E+02,  1.123416771959515E+08, -4.660210834144166E+01,
2457985.500000000, A.D. 2017-Aug-20 00:00:00.0000, -6.149917680866737E+07, -6.850383799015491E+07,  5.705418157348001E+07,  3.589832780776863E+00,  3.340246240760096E+01, -4.491012237914802E+01,  3.612686133402153E+02,  1.083056055915147E+08, -4.682378980433413E+01,
2457986.500000000, A.D. 2017-Aug-21 00:00:00.0000, -6.116417413118887E+07, -6.559054445412087E+07,  5.315139148963807E+07,  4.175498330558062E+00,  3.404246241617609E+01, -4.543606457097920E+01,  3.477435070950029E+02,  1.042508807455513E+08, -4.703312405713659E+01,
2457987.500000000, A.D. 2017-Aug-22 00:00:00.0000, -6.077567042401806E+07, -6.261992280026966E+07,  4.920216330221862E+07,  4.829985542198777E+00,  3.473031756671283E+01, -4.598512908883306E+01,  3.341604703610052E+02,  1.001787887759619E+08, -4.722479981071018E+01,
2457988.500000000, A.D. 2017-Aug-23 00:00:00.0000, -6.032724939857771E+07, -5.958761863667327E+07,  4.520449287289563E+07,  5.564522986052213E+00,  3.547121186720118E+01, -4.655737776775583E+01,  3.205255469862033E+02,  9.609114158278835E+07, -4.739188220432209E+01,
2457989.500000000, A.D. 2017-Aug-24 00:00:00.0000, -5.981142790891083E+07, -5.648880367551354E+07,  4.115639656514156E+07,  6.392660898850438E+00,  3.627093673735384E+01, -4.715222837771302E+01,  3.068470747940888E+02,  9.199043878262971E+07, -4.752528489786772E+01,
2457990.500000000, A.D. 2017-Aug-25 00:00:00.0000, -5.921943208101098E+07, -5.331812220226773E+07,  3.705598047688552E+07,  7.330831255010133E+00,  3.713590987166461E+01, -4.776811870120214E+01,  2.931364035701113E+02,  8.788008295556365E+07, -4.761305380604028E+01,
